Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0603,2,100nf,
"C2, C3",0603,2,100n,
"C5, C6",CP_Elec_5x3,2,10uf,C249450
"C7, C8",CP_Elec_4x3,2,4.7u,C249551
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,12,WS2812B,C114586
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle,C165948
J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02_Pin,C173752
J3,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_ARM_JTAG_SWD_10,C180221
L1,L_Vishay_IHLP-2020,1,4.7uh,C845007
R1,0603,1,2k,
R2,0603,1,5k1,
SW1,SW_SPDT_CK-JS102011SAQN,1,SW_SPST,C221660
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,STM32G030F6P6,C724040
U2,SOT-23-5,1,LR4054,C5336483
U3,SOT-23-5,1,TPS613222ADBV,C2071163
U4,SOT-89-3,1,AMS1117-3.3,C2904742
